,Period,Close,High,Low,Open,Volume,p_change,Prev Close,TR,atr14,atr21,pct_change,p_score,MA5,MA20,ma5_score,ma20_score,rsi,rsi_score,vol_avg5,vol_avg5_score,z_score,z_score_score,score,score_final
50,2022-08-31,11816.2001953125,12027.4296875,11814.169921875,11972.5595703125,4952010000.0,0.013059811820666414,11883.1396484375,213.259765625,238.17836216517858,243.4408947172619,-0.005633145372805681,2,12099.5978515625,12586.504443359376,0,0,37.66123132486698,0,4539370000.0,1,-0.45056299007833617,3,1.3,36.66666666666667
51,2022-09-01,11785.1298828125,11798.3701171875,11546.51953125,11707.4404296875,4792890000.0,-0.0066359042005455435,11816.2001953125,269.6806640625,238.34981863839286,239.5742652529762,-0.0026294673402982305,3,11928.769921875,12539.73193359375,0,0,37.087226629270184,0,4633254000.0,1,-0.24128605108913023,3,1.6,46.66666666666667
52,2022-09-02,11630.8603515625,11945.91015625,11573.509765625,11899.1396484375,4257410000.0,0.022546108777723967,11785.1298828125,372.400390625,254.07275390625,250.85951450892858,-0.013090185070848248,2,11826.6,12488.3974609375,0,0,34.29250020091385,0,4578736000.0,0,-0.9701214863744833,3,1.2000000000000002,33.33333333333334
53,2022-09-06,11544.91015625,11679.4296875,11471.5,11643.0302734375,4622940000.0,0.00842736941184049,11630.8603515625,207.9296875,254.50704520089286,251.48423549107142,-0.007389839849719526,2,11732.048046875,12433.419970703126,0,0,32.80909242229359,0,4661354000.0,0,-0.5729581465794722,3,1.2000000000000002,33.33333333333334
54,2022-09-07,11791.900390625,11819.0703125,11555.080078125,11559.3798828125,4445640000.0,-0.020115309832340736,11544.91015625,274.16015625,256.9799107142857,252.28231956845238,0.02139386370549512,5,11713.8001953125,12398.318505859375,1,0,40.741896817594814,0,4614178000.0,0,1.432504924900078,4,2.4000000000000004,73.33333333333334
55,2022-09-08,11862.1298828125,11896.73046875,11660.5302734375,11679.8603515625,4329910000.0,-0.015605454668438436,11791.900390625,236.2001953125,264.6249302455357,253.73949032738096,0.005955739945304739,3,11722.9861328125,12348.685009765624,1,0,42.809487912132006,0,4489758000.0,0,0.3568758963213774,3,1.6,46.66666666666667
56,2022-09-09,12112.3095703125,12132.669921875,11958.6103515625,11958.6103515625,4401590000.0,-0.012852598607322114,11862.1298828125,270.5400390625,263.20138113839283,249.12183779761904,0.02109062115923166,5,11788.4220703125,12315.30498046875,1,0,49.56099350304383,0,4411498000.0,0,1.4113769374238931,4,2.4000000000000004,73.33333333333334
57,2022-09-12,12266.41015625,12270.1904296875,12169.2802734375,12174.9404296875,4146680000.0,-0.007512950645693451,12112.3095703125,157.880859375,249.37220982142858,243.96614583333334,0.012722642617655877,4,11915.53203125,12276.265966796875,1,0,53.22399191175831,0,4389352000.0,0,0.828350089753929,3,1.9000000000000001,56.66666666666668
58,2022-09-13,11633.5703125,11957.9697265625,11604.4296875,11908.8095703125,5188380000.0,0.023112239404570262,12266.41015625,661.98046875,286.74086216517856,262.7613932291667,-0.051591283487904094,1,11933.2640625,12201.5419921875,0,0,40.28528546368626,0,4502440000.0,1,-3.652630043297727,1,0.6000000000000001,13.333333333333336
59,2022-09-14,11719.6796875,11746.830078125,11602.759765625,11680.41015625,4861530000.0,-0.003361999341177887,11633.5703125,144.0703125,286.0194614955357,262.3704892113095,0.007401801225843663,3,11918.819921875,12132.398486328126,0,0,42.3393051090281,0,4585618000.0,1,0.45762813244881817,3,1.6,46.66666666666667
