,Period,Close,High,Low,Open,Volume,Prev Close,Weekday,p_change,TR,atr14,atr21,ma_short,ma_long,SMA_short,SMA_long,prev_ma_short,prev_ma_long,golden_cross,death_cross,ma_diff,ma_ratio,volatility,future_return_1d,score
877,2024-11-14,87250.4296875,91765.21875,86682.8125,90574.8828125,87616705248.0,90584.1640625,3,0.03670391858946133,5082.40625,3917.227120535714,3402.9886532738096,86993.215625,75232.262890625,80919.3921875,68864.7525,84898.903125,74201.862109375,False,False,11760.952734374994,1.156328578757141,5082.40625,0.04373133907381366,72.0
878,2024-11-15,91066.0078125,91868.7421875,87124.8984375,87284.1796875,78243109518.0,87250.4296875,4,-0.04332776155472762,4743.84375,4057.55078125,3476.487723214286,89111.5796875,76434.828515625,83090.03671875,69382.452265625,86993.215625,75232.262890625,False,False,12676.751171874988,1.1658504561082854,4743.84375,-0.005573223886622762,47.0
879,2024-11-16,90558.4765625,91763.9453125,90094.2265625,91064.3671875,44333192814.0,91066.0078125,5,0.005555308191604514,1669.71875,4117.271205357143,3510.411086309524,89482.978125,77566.2875,84581.9765625,69877.808515625,89111.5796875,76434.828515625,False,False,11916.690624999988,1.1536323447863865,1669.71875,-0.007869224693816193,46.0
880,2024-11-17,89845.8515625,91433.0390625,88741.6640625,90558.4609375,46350159305.0,90558.4765625,6,0.007869053511099487,2691.375,4175.288504464285,3573.139136904762,89860.9859375,78563.1921875,85976.07578125,70356.972578125,89482.978125,77566.2875,False,False,11297.793749999997,1.1438051768955178,2691.375,0.007755383808848298,54.0
881,2024-11-18,90542.640625,92596.7890625,89393.59375,89843.71875,75535775084.0,89845.8515625,0,-0.007779307053672018,3203.1953125,4216.264508928572,3598.1897321428573,89852.68125,79454.299609375,87375.7921875,70855.119296875,89860.9859375,78563.1921875,False,False,10398.381640624997,1.1308724850857292,3203.1953125,0.019892819836786157,60.0
882,2024-11-19,92343.7890625,94002.8671875,90426.984375,90536.8125,74521048295.0,90542.640625,1,-0.01995847338340965,3575.8828125,4252.833147321428,3585.2652529761904,90871.353125,80454.512109375,88932.284375,71435.405078125,89852.68125,79454.299609375,False,False,10416.841015624988,1.1294749137433544,3575.8828125,0.021611665984912865,61.0
883,2024-11-20,94339.4921875,94902.0234375,91619.5,92341.890625,71730956426.0,92343.7890625,2,-0.021632669084199835,3282.5234375,3977.433035714286,3670.4538690476193,91526.05,81660.72734375,90318.81484375,72105.454765625,90871.353125,80454.512109375,False,False,9865.322656250006,1.1208086552391583,3282.5234375,0.04415154542830891,72.0
884,2024-11-21,98504.7265625,99014.21875,94132.6015625,94334.640625,106024505582.0,94339.4921875,3,-0.04420524538888071,4881.6171875,4150.213169642857,3756.6350446428573,93115.3,83111.840234375,91299.1390625,72862.89359375,91526.05,81660.72734375,False,False,10003.459765624997,1.1203614278954153,4881.6171875,0.005004201495724547,53.0
885,2024-11-22,98997.6640625,99655.5,97222.6640625,98496.4296875,78473580551.0,98504.7265625,4,-0.005088858312837005,2432.8359375,4209.415178571428,3740.136160714286,94945.6625,84597.259765625,92403.32421875,73627.658828125,93115.3,83111.840234375,False,False,10348.402734375006,1.122325507505149,2432.8359375,-0.012327389984975182,44.0
886,2024-11-23,97777.28125,99014.6796875,97232.890625,99006.7421875,44414644677.0,98997.6640625,5,0.012417951649915255,1781.7890625,4253.901785714285,3785.2864583333335,96392.590625,86049.06796875,93122.6359375,74341.854921875,94945.6625,84597.259765625,False,False,10343.522656250003,1.1202049353980965,1781.7890625,0.002419161787646862,51.0
887,2024-11-24,98013.8203125,98647.1796875,95788.078125,97778.09375,51712020623.0,97777.28125,6,-0.002410832053064033,2859.1015625,4107.481026785715,3831.951636904762,97526.596875,87559.18359375,94198.975,75060.33234375,96392.590625,86049.06796875,False,False,9967.413281250003,1.113836297600672,2859.1015625,-0.050110519331258215,25.0
888,2024-11-25,93102.296875,98935.03125,92642.9140625,98033.4453125,80909462490.0,98013.8203125,0,0.050300674650177186,6292.1171875,3891.1143973214284,4006.3604910714284,97279.1578125,88746.3203125,94402.60390625,75665.99921875,97526.596875,87559.18359375,False,False,8532.837499999994,1.0961486343315818,6292.1171875,-0.01199730404073342,44.0
889,2024-11-26,91985.3203125,94991.75,90770.8125,93087.28125,91656519855.0,93102.296875,1,0.011837932343737883,4220.9375,3849.6261160714284,4061.456473214286,95975.2765625,89563.632421875,94545.28828125,76260.972421875,97279.1578125,88746.3203125,False,False,6411.644140625009,1.071587584907499,4220.9375,0.043237452715153855,72.0
890,2024-11-27,95962.53125,97361.1796875,91778.6640625,91978.140625,71133452438.0,91985.3203125,2,-0.04331888639980865,5582.515625,3735.7042410714284,3987.379836309524,95368.25,90566.516015625,95156.95625,76937.583671875,95975.2765625,89563.632421875,False,False,4801.733984374994,1.0530188660845314,5582.515625,-0.0032310787967048337,48.0
891,2024-11-28,95652.46875,96650.203125,94677.3515625,95954.9453125,52260008261.0,95962.53125,3,0.0031522769515934116,1972.8515625,3513.593191964286,3964.0539434523807,94943.2875,91521.865625,95667.9390625,77638.991015625,95368.25,90566.516015625,False,False,3421.421875,1.0373836552788256,1972.8515625,0.018912786163713103,59.0
892,2024-11-29,97461.5234375,98693.171875,95407.8828125,95653.953125,54968682476.0,95652.46875,4,-0.01889697449448721,3285.2890625,3409.410714285714,4044.1149553571427,94832.828125,92555.9984375,96179.7125,78382.731484375,94943.2875,91521.865625,False,False,2276.829687499994,1.0245994827557012,3285.2890625,-0.01038839445855035,45.0
893,2024-11-30,96449.0546875,97499.34375,96144.21875,97468.8125,31634227866.0,97461.5234375,5,0.010462401114202555,1355.125,3386.9397321428573,4053.4553571428573,95502.1796875,93354.741796875,96390.66875,79062.81078125,94832.828125,92555.9984375,False,False,2147.437890625006,1.0230029867716575,1355.125,0.008613193542348579,54.0
894,2024-12-01,97279.7890625,97888.125,95770.1875,96461.3359375,36590695296.0,96449.0546875,6,-0.00848477907801628,2117.9375,3345.979910714286,3920.5479910714284,96561.0734375,93783.65703125,96268.175,79744.54609375,95502.1796875,93354.741796875,False,False,2777.416406250006,1.0296151429169,2117.9375,-0.014540372554583016,43.0
895,2024-12-02,95865.3046875,98152.6015625,94482.8671875,97276.0078125,72680784305.0,97279.7890625,0,0.014502066405923416,3669.734375,3379.304129464286,3651.428199404762,96541.628125,94179.131640625,95954.9390625,80404.8246875,96561.0734375,93783.65703125,False,False,2362.496484375006,1.0250851376862338,3669.734375,0.001427621551364508,51.0
896,2024-12-03,96002.1640625,96297.203125,93629.5625,95854.59375,67067810961.0,95865.3046875,1,-0.0015395225906948253,2667.640625,3314.4296875,3549.8028273809523,96611.5671875,94450.031640625,95777.42734375,81003.94546875,96541.628125,94179.131640625,False,False,2161.5355468749913,1.0228854930943747,2667.640625,0.028815675297684126,64.0
897,2024-12-04,98768.53125,99207.328125,94660.5234375,95988.53125,77199817112.0,96002.1640625,2,-0.028961793287153773,4546.8046875,3404.7354910714284,3424.5353422619046,96872.96875,95025.93671875,95852.8984375,81638.49390625,96611.5671875,94450.031640625,False,False,1847.032031249997,1.0194371357444936,4546.8046875,-0.022020788503929484,39.0
898,2024-12-05,96593.5703125,103900.46875,91998.78125,98741.5390625,149218945580.0,98768.53125,3,0.021753446122005547,11901.6875,3906.1690848214284,3749.2630208333335,96901.871875,95302.31484375,96202.02578125,82218.1109375,96872.96875,95025.93671875,False,False,1599.5570312499913,1.016784031257504,11901.6875,0.03444474217316969,67.0
899,2024-12-06,99920.7109375,102039.8828125,96514.875,97074.2265625,94534772658.0,96593.5703125,4,-0.02932276131159621,5525.0078125,4127.038504464285,3786.4613095238096,97430.05625,95770.4265625,96995.56484375,82868.5284375,96901.871875,95302.31484375,False,False,1659.629687499997,1.017329250240072,5525.0078125,2.6270829894734504e-05,50.0
900,2024-12-07,99923.3359375,100563.3828125,99030.8828125,99916.7109375,44177510897.0,99920.7109375,5,-6.630522500029126e-05,1532.5,4109.232142857143,3779.9270833333335,98241.6625,96274.30078125,97391.6453125,83498.619375,97430.05625,95770.4265625,False,False,1967.3617187500058,1.0204349624228397,1532.5,0.013136868131795102,57.0
